YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-07,WEEKDAY,12,BUS,76339,1634,255
2026-07,WEEKENDS/HOLIDAY,1,BUS,28481,0,1
2026-07,WEEKENDS/HOLIDAY,6,BUS,21359,86,36
2026-07,WEEKDAY,20,BUS,50211,1693,1899
2026-07,WEEKDAY,10,BUS,25071,2,2
2026-07,WEEKENDS/HOLIDAY,21,BUS,84611,27,118
2026-07,WEEKDAY,12,BUS,22341,375,1198
2026-07,WEEKDAY,18,BUS,22549,41,212
2026-07,WEEKENDS/HOLIDAY,18,BUS,58141,76,51
2026-07,WEEKENDS/HOLIDAY,19,BUS,43691,277,714
2026-07,WEEKDAY,16,BUS,23019,187,1
2026-07,WEEKDAY,12,BUS,77291,718,649
2026-07,WEEKENDS/HOLIDAY,13,BUS,23259,7,10
2026-07,WEEKENDS/HOLIDAY,14,BUS,46291,51,231
2026-07,WEEKENDS/HOLIDAY,22,BUS,70211,112,527
2026-07,WEEKDAY,13,BUS,33049,12,0
2026-07,WEEKENDS/HOLIDAY,9,BUS,42059,679,1395
2026-07,WEEKDAY,5,BUS,99011,0,2
2026-07,WEEKENDS/HOLIDAY,19,BUS,01411,293,535
2026-07,WEEKENDS/HOLIDAY,21,BUS,23209,2,0
2026-07,WEEKDAY,20,BUS,02171,677,295
2026-07,WEEKDAY,22,BUS,59249,385,2015
2026-07,WEEKDAY,17,BUS,22431,1042,3
2026-07,WEEKENDS/HOLIDAY,10,BUS,56021,159,240
2026-07,WEEKENDS/HOLIDAY,18,BUS,44899,135,56
2026-07,WEEKDAY,18,BUS,67119,1984,744
2026-07,WEEKENDS/HOLIDAY,21,BUS,58271,83,142
2026-07,WEEKENDS/HOLIDAY,0,BUS,46851,3,69
2026-07,WEEKDAY,0,BUS,75151,18,366
2026-07,WEEKDAY,10,BUS,40381,154,1906
2026-07,WEEKENDS/HOLIDAY,19,BUS,64009,7593,4563
2026-07,WEEKENDS/HOLIDAY,11,BUS,44701,415,222
2026-07,WEEKENDS/HOLIDAY,0,BUS,57111,21,70
2026-07,WEEKDAY,12,BUS,46421,147,769
2026-07,WEEKDAY,13,BUS,56261,216,222
2026-07,WEEKDAY,3,BUS,15091,2,0
2026-07,WEEKENDS/HOLIDAY,6,BUS,26059,0,7
2026-07,WEEKDAY,8,BUS,43201,355,325
2026-07,WEEKDAY,15,BUS,46769,486,1398
2026-07,WEEKDAY,14,BUS,54051,189,162
2026-07,WEEKDAY,20,BUS,44279,260,1017
2026-07,WEEKENDS/HOLIDAY,10,BUS,30091,48,4
2026-07,WEEKENDS/HOLIDAY,23,BUS,59291,51,68
2026-07,WEEKENDS/HOLIDAY,22,BUS,57039,20,36
2026-07,WEEKDAY,23,BUS,65451,53,690
2026-07,WEEKENDS/HOLIDAY,16,BUS,66451,121,70
2026-07,WEEKDAY,9,BUS,77271,702,238
2026-07,WEEKENDS/HOLIDAY,15,BUS,82121,134,265
2026-07,WEEKENDS/HOLIDAY,0,BUS,28709,2,7
2026-07,WEEKENDS/HOLIDAY,20,BUS,75221,145,341
2026-07,WEEKDAY,21,BUS,10219,7,7
2026-07,WEEKENDS/HOLIDAY,15,BUS,80029,190,199
2026-07,WEEKENDS/HOLIDAY,8,BUS,52219,216,966
2026-07,WEEKDAY,18,BUS,62229,675,4902
2026-07,WEEKENDS/HOLIDAY,21,BUS,64051,148,313
2026-07,WEEKENDS/HOLIDAY,11,BUS,84331,168,157
2026-07,WEEKENDS/HOLIDAY,9,BUS,28239,389,203
2026-07,WEEKDAY,9,BUS,84019,1546,789
2026-07,WEEKDAY,17,BUS,96141,866,197
2026-07,WEEKENDS/HOLIDAY,13,BUS,40099,56,74
2026-07,WEEKENDS/HOLIDAY,18,BUS,66541,98,255
2026-07,WEEKENDS/HOLIDAY,19,BUS,62019,128,105
2026-07,WEEKENDS/HOLIDAY,7,BUS,25121,10,11
2026-07,WEEKDAY,13,BUS,43511,587,1358
2026-07,WEEKDAY,18,BUS,22539,125,219
2026-07,WEEKDAY,7,BUS,65109,97,517
2026-07,WEEKDAY,11,BUS,61079,428,212
2026-07,WEEKENDS/HOLIDAY,21,BUS,76041,37,306
2026-07,WEEKDAY,17,BUS,74019,107,1
2026-07,WEEKDAY,11,BUS,46999,19,37
2026-07,WEEKDAY,10,BUS,11041,736,270
2026-07,WEEKDAY,21,BUS,51031,45,40
2026-07,WEEKDAY,20,BUS,66569,90,162
2026-07,WEEKDAY,14,BUS,14191,364,887
2026-07,WEEKDAY,12,BUS,65141,1855,197
2026-07,WEEKENDS/HOLIDAY,16,BUS,57051,41,65
2026-07,WEEKDAY,0,BUS,52169,16,37
2026-07,WEEKENDS/HOLIDAY,21,BUS,80051,1143,1538
2026-07,WEEKENDS/HOLIDAY,6,BUS,65681,2,4
2026-07,WEEKDAY,6,BUS,08138,725,1089
2026-07,WEEKENDS/HOLIDAY,7,BUS,54631,178,251
2026-07,WEEKDAY,19,BUS,25101,132,62
2026-07,WEEKDAY,17,BUS,60079,1131,412
2026-07,WEEKENDS/HOLIDAY,15,BUS,10209,1268,1562
2026-07,WEEKDAY,13,BUS,59219,221,776
2026-07,WEEKDAY,18,BUS,66291,270,283
2026-07,WEEKDAY,19,BUS,50049,683,495
2026-07,WEEKENDS/HOLIDAY,23,BUS,98291,21,20
2026-07,WEEKENDS/HOLIDAY,20,BUS,43169,357,372
2026-07,WEEKDAY,17,BUS,46771,12320,2615
2026-07,WEEKDAY,22,BUS,47541,180,400
2026-07,WEEKENDS/HOLIDAY,9,BUS,59461,932,307
2026-07,WEEKENDS/HOLIDAY,19,BUS,23291,5,4
2026-07,WEEKENDS/HOLIDAY,10,BUS,64339,358,238
2026-07,WEEKDAY,11,BUS,14509,588,200
2026-07,WEEKDAY,14,BUS,10211,47,19
2026-07,WEEKENDS/HOLIDAY,10,BUS,44619,326,267
2026-07,WEEKENDS/HOLIDAY,6,BUS,28049,22,96
2026-07,WEEKENDS/HOLIDAY,14,BUS,58501,9,143
2026-07,WEEKENDS/HOLIDAY,17,BUS,41161,44,23
2026-07,WEEKDAY,16,BUS,33031,0,17
2026-07,WEEKENDS/HOLIDAY,20,BUS,56241,5,1
2026-07,WEEKENDS/HOLIDAY,23,BUS,10441,0,61
2026-07,WEEKENDS/HOLIDAY,8,BUS,70311,7,33
2026-07,WEEKENDS/HOLIDAY,22,BUS,16091,176,35
2026-07,WEEKENDS/HOLIDAY,22,BUS,58421,14,3
2026-07,WEEKDAY,8,BUS,44059,2372,235
2026-07,WEEKENDS/HOLIDAY,15,BUS,56091,1186,329
2026-07,WEEKENDS/HOLIDAY,19,BUS,46479,536,393
2026-07,WEEKENDS/HOLIDAY,14,BUS,59129,535,218
2026-07,WEEKDAY,18,BUS,17389,412,496
2026-07,WEEKENDS/HOLIDAY,5,BUS,51029,1,12
2026-07,WEEKENDS/HOLIDAY,13,BUS,49031,2,2
2026-07,WEEKDAY,20,BUS,24279,90,1
2026-07,WEEKDAY,0,BUS,67601,1104,229
2026-07,WEEKDAY,5,BUS,17149,84,24
2026-07,WEEKENDS/HOLIDAY,23,BUS,05641,79,73
2026-07,WEEKENDS/HOLIDAY,9,BUS,10411,29,2
2026-07,WEEKENDS/HOLIDAY,14,BUS,64611,362,229
2026-07,WEEKDAY,8,BUS,23489,6,246
2026-07,WEEKENDS/HOLIDAY,16,BUS,64089,70,106
2026-07,WEEKENDS/HOLIDAY,9,BUS,23499,99,255
2026-07,WEEKENDS/HOLIDAY,9,BUS,58601,232,20
2026-07,WEEKDAY,19,BUS,80029,546,535
2026-07,WEEKENDS/HOLIDAY,5,BUS,13121,12,0
2026-07,WEEKDAY,15,BUS,75481,569,1548
2026-07,WEEKENDS/HOLIDAY,18,BUS,21201,10,1
2026-07,WEEKENDS/HOLIDAY,12,BUS,58101,199,301
2026-07,WEEKENDS/HOLIDAY,14,BUS,63089,266,211
2026-07,WEEKDAY,17,BUS,57041,69,9
2026-07,WEEKENDS/HOLIDAY,20,BUS,67301,31,127
2026-07,WEEKDAY,10,BUS,64541,3637,3609
2026-07,WEEKDAY,0,BUS,43601,17,14
2026-07,WEEKENDS/HOLIDAY,20,BUS,60019,55,25
2026-07,WEEKDAY,20,BUS,54009,38645,17537
2026-07,WEEKENDS/HOLIDAY,8,BUS,43779,388,165
2026-07,WEEKENDS/HOLIDAY,21,BUS,51099,76,68
2026-07,WEEKDAY,20,BUS,67999,85,458
2026-07,WEEKDAY,10,BUS,40069,305,210
2026-07,WEEKENDS/HOLIDAY,6,BUS,51139,17,237
2026-07,WEEKDAY,8,BUS,68121,72,1101
2026-07,WEEKDAY,21,BUS,40171,83,144
2026-07,WEEKENDS/HOLIDAY,23,BUS,64429,27,121
2026-07,WEEKENDS/HOLIDAY,17,BUS,52251,228,37
2026-07,WEEKDAY,0,BUS,64449,8,19
2026-07,WEEKDAY,12,BUS,27149,508,81
2026-07,WEEKDAY,16,BUS,78181,1099,1599
2026-07,WEEKENDS/HOLIDAY,19,BUS,27369,470,527
2026-07,WEEKENDS/HOLIDAY,18,BUS,14359,127,113
2026-07,WEEKDAY,12,BUS,65381,134,111
2026-07,WEEKENDS/HOLIDAY,5,BUS,47641,1,0
2026-07,WEEKDAY,9,BUS,10599,2276,540
